Bin,Species,TTT,Date,Day,Crown,Ht
E4,SCBI,G+,15-Nov,42,38.5,23
F1,DICI,G+,15-Nov,42,65.5,68
F2,SCBI,G+,15-Nov,42,28,31
F3,DICI,G+,15-Nov,42,37.5,44
F4,LOCA,G+,15-Nov,42,56.5,14
A1,DICI,G-,29-Nov,56,99.5,76
A2,SCBI,G-,29-Nov,56,56,24
A3,LOCA,G-,29-Nov,56,43.5,43
A4,LOCA,G+,29-Nov,56,60,28
B1,DICI,G+,29-Nov,56,87.5,63
B2,SCBI,G-,29-Nov,56,54,23
B3,LOCA,G+,29-Nov,56,58.5,32
B4,DICI,G-,29-Nov,56,79.5,70
C1,SCBI,G+,29-Nov,56,29.5,30
C2,DICI,G-,29-Nov,56,99.5,69
C3,LOCA,G-,29-Nov,56,56.5,55
C4,SCBI,G-,29-Nov,56,56,31
D1,LOCA,G-,29-Nov,56,63.5,29
D2,DICI,G+,29-Nov,56,89,64
D3,SCBI,G-,29-Nov,56,51,47
D4,LOCA,G+,29-Nov,56,52.5,35
E1,DICI,G-,29-Nov,56,78,65
E2,SCBI,G+,29-Nov,56,19,20
E3,LOCA,G-,29-Nov,56,50,26
E4,SCBI,G+,29-Nov,56,36.5,25
F1,DICI,G+,29-Nov,56,84.5,80
F2,SCBI,G+,29-Nov,56,29,24
F3,DICI,G+,29-Nov,56,51,47.5
F4,LOCA,G+,29-Nov,56,57,13
A1,DICI,G-,6-Dec,63,102,77
A2,SCBI,G-,6-Dec,63,57.5,27
A3,LOCA,G-,6-Dec,63,45.5,43
A4,LOCA,G+,6-Dec,63,60,28
B1,DICI,G+,6-Dec,63,93,65
B2,SCBI,G-,6-Dec,63,55,32
B3,LOCA,G+,6-Dec,63,60,32
B4,DICI,G-,6-Dec,63,81.5,74
C1,SCBI,G+,6-Dec,63,35,30
C2,DICI,G-,6-Dec,63,105,71
C3,LOCA,G-,6-Dec,63,57.5,55
C4,SCBI,G-,6-Dec,63,59,31
D1,LOCA,G-,6-Dec,63,64,29
D2,DICI,G+,6-Dec,63,94.5,70
D3,SCBI,G-,6-Dec,63,52,47
D4,LOCA,G+,6-Dec,63,54.5,36
E1,DICI,G-,6-Dec,63,86.5,67
E2,SCBI,G+,6-Dec,63,20.5,21
E3,LOCA,G-,6-Dec,63,50,28
E4,SCBI,G+,6-Dec,63,36.5,27
F1,DICI,G+,6-Dec,63,90,86
F2,SCBI,G+,6-Dec,63,29,24
F3,DICI,G+,6-Dec,63,57.5,50
F4,LOCA,G+,6-Dec,63,57,13
A1,DICI,G-,16-Dec,73,102.5,84
A2,SCBI,G-,16-Dec,73,59,34
A3,LOCA,G-,16-Dec,73,46,43
A4,LOCA,G+,16-Dec,73,61.5,28
B1,DICI,G+,16-Dec,73,94.5,71
B2,SCBI,G-,16-Dec,73,55.5,37
B3,LOCA,G+,16-Dec,73,60.5,32
B4,DICI,G-,16-Dec,73,83,75
C1,SCBI,G+,16-Dec,73,36,30
C2,DICI,G-,16-Dec,73,107,74
C3,LOCA,G-,16-Dec,73,59.5,55
C4,SCBI,G-,16-Dec,73,59.5,27
D1,LOCA,G-,16-Dec,73,64.5,29
D2,DICI,G+,16-Dec,73,95,72
D3,SCBI,G-,16-Dec,73,53,36
D4,LOCA,G+,16-Dec,73,55,36
E1,DICI,G-,16-Dec,73,87,71
