ID,X,Y,MAP,Dry_ratio,Fire,Elev.mn,Elev.sd,Slope.mn,Slope.sd,Curvat.mn,Curvat.sd,WCI
73,682717.1889,9703626.556,899.3171,0.2971739,0.307692308,1650.333,1.7511901,1.239078,0.35757685,-0.037144411,0.035899108,0.093653021
74,686663.3556,9703308.556,887.766,0.2952347,0.384615385,1646.75,3.0956959,4.2455238,0.62167403,-0.026392082,0.065221001,0.013394572
75,712953.8222,9701078.111,804.31,0.281365,0.153846154,1629.667,0.8164966,0.2739691,0.19970847,0.011729814,0.055515613,0.186600396
76,713561.3667,9701095.778,802.8773,0.281164,0.076923077,1631.833,0.4082483,0.3445435,0.08220018,-0.011729814,0.01817175,0.263451089
77,736358.4556,9701057.222,756.4829,0.269669,0,1769.222,1.3944334,0.9276558,0.21326967,-0.002606625,0.038805027,0.027272283
78,737616.1111,9700999.333,757.0179,0.2686135,0,0,1779.25,0.9574271,0.635147,0.18879605,0.029324535,0.020172517
79,738703.5778,9700869.667,751.86,0.2678987,0,0,1791.333,1.5055453,1.2487567,0.17130698,0.031836597,0.008490953
80,740686.7222,9700745.222,741.1805,0.2680676,0,1772,0.8944272,0.4129891,0.24988794,-0.01954969,0.069460575,0.148797158
81,739218.8444,9700441.889,749.3153,0.2674706,0,1784.333,1.0327956,0.7105029,0.24651986,0,0.038548103,0.038267635
82,736804.4556,9694436,731.2977,0.259897,0,1735.444,2.0682789,1.0520425,0.18186429,0.010426501,0.055156464,0.093618781
83,736859.5444,9693538.889,726.9488,0.2598267,0,1725,1.6583124,1.1373262,0.29076816,-0.007819876,0.042292446,0.082930979
84,736193.7889,9692684.667,726.8557,0.2588496,0,1711,1.4142136,0.9966753,0.33332788,-0.008797361,0.054494213,0.246211935
85,736866.3333,9692752.556,723.704,0.2585459,0,1719.667,1.0327956,0.8653153,0.26222671,0.023459628,0.05400812,0.066315799
86,738096.8778,9692436.222,715.8573,0.2583151,0.076923077,1706.833,1.3291601,0.9956192,0.2333031,-0.001954969,0.021522424,0.128625031
87,736611.9667,9691741.111,720.4988,0.2565548,0,1708,0.8164966,0.8756467,0.26919231,0.029324535,0.035189442,0.128443207
88,738803.8556,9691371.778,712.5449,0.2579962,0,1699.667,1.8618987,1.0423605,0.26911096,0.007819876,0.028411021,0.02610078
89,736454.6333,9690574.444,720.3209,0.256004,0,1701.167,1.1690452,0.7152917,0.12846111,0.001954969,0.031836597,0.067760181
90,749122.2111,9689315.111,672.1079,0.2532822,0,1730.111,2.7588242,1.6353292,0.83563152,0.028672879,0.0668988,0.031924727
91,801846.1889,9673947.222,1063.463,0.3347273,0.076923077,2535.667,4.8853523,2.8721213,0.46035898,-0.044964287,0.07830621,0.000275659
92,803125.4778,9673456.778,1074.642,0.3362245,0.076923077,2577.75,2.0615528,2.530399,0.25100811,0.008797361,0.044279077,0.005848843
93,802802.0444,9673315.667,1071.994,0.3357346,0,2564.889,3.1402406,2.5406703,0.39175657,-0.015639752,0.039777735,0
94,801312.9556,9672843.778,1059.501,0.3338121,0.076923077,2514,4.7328638,3.4555831,0.54566171,-0.01759472,0.124744792,0.015912846
95,801672.7889,9672793.556,1064.598,0.3344587,0.076923077,2528.667,6.7724934,4.7789214,0.36408569,-0.009774845,0.05422,0.014667485
96,732778.4667,9672603.222,728.8071,0.2373713,0,1626.5,1.3784049,0.8264153,0.26137934,0.009774845,0.048315824,0.100854067
97,715600.3333,9672113.111,818.6507,0.2427179,0.076923077,1622.25,0.5,0.2871853,0.16249888,0,0.033176924,0.033118453
98,720903.1111,9671927.778,794.3894,0.2403118,0,1621.222,1.4813657,0.604383,0.34414701,0.005213251,0.064809508,0.0109534
99,732126.2444,9671985.556,730.2668,0.236165,0,1623,1.6583124,0.7167832,0.29704297,0.018246377,0.066898798,0.230677052
100,732996.1667,9671870.667,727.717,0.2375433,0,1623.667,1.0327956,0.5352278,0.22558683,0.013684783,0.056700842,0.117469161
